city,weather_date,bin_title,side,entry_cost_cents,market_yes,model_prob,edge_cents,contracts,result_yes,realized_pnl_cents,opened_date,close_time
Seoul,2026-06-30,26°C,no,85.5,0.145,0.0007,14.4,10,False,14.5,2026-06-29,2026-06-30T12:00:00
Shanghai,2026-06-30,24°C,yes,0.1,0.0005,0.1442,14.4,10,False,-0.1,2026-06-29,2026-06-30T12:00:00
Beijing,2026-06-30,28°C,no,74.5,0.255,0.1455,10.9,10,False,25.5,2026-06-29,2026-06-30T12:00:00
Paris,2026-06-30,27°C,no,73.5,0.265,0.1197,14.5,10,False,26.5,2026-06-29,2026-06-30T12:00:00
Munich,2026-06-30,26°C,yes,1.6,0.0155,0.1341,11.9,10,False,-1.6,2026-06-29,2026-06-30T12:00:00
Hong Kong,2026-06-30,29°C,yes,3.2,0.032,0.1336,10.2,10,False,-3.2,2026-06-29,2026-06-30T12:00:00
Chengdu,2026-07-01,25°C or below,yes,0.3,0.003,0.1216,11.9,10,False,-0.3,2026-06-29,2026-07-01T12:00:00
Shanghai,2026-07-01,24°C,yes,0.1,0.0015,0.1285,12.7,10,False,-0.1,2026-06-30,2026-07-01T12:00:00
Hong Kong,2026-07-01,30°C,yes,2.2,0.0225,0.1323,11.0,10,False,-2.2,2026-06-30,2026-07-01T12:00:00
Munich,2026-07-01,19°C,yes,2.9,0.0285,0.1424,11.4,10,False,-2.9,2026-06-30,2026-07-01T12:00:00
Seoul,2026-07-01,31°C,yes,7.5,0.075,0.1523,7.7,10,False,-7.5,2026-06-30,2026-07-01T12:00:00
Tokyo,2026-07-01,30°C,yes,2.5,0.025,0.1444,11.9,10,False,-2.5,2026-06-30,2026-07-01T12:00:00
Hong Kong,2026-07-02,30°C,yes,2.1,0.021,0.1703,14.9,10,False,-2.1,2026-07-01,2026-07-02T12:00:00
Tokyo,2026-07-02,27°C,yes,1.1,0.0105,0.1251,11.5,10,False,-1.1,2026-07-01,2026-07-02T12:00:00
Shanghai,2026-07-02,28°C,no,66.5,0.335,0.2023,13.3,10,False,33.5,2026-07-01,2026-07-02T12:00:00
