ticker,category,weather_date,opened_date,close_time,entry_yes_bid,entry_yes_ask,entry_no_cost,entry_mode,contracts,model_prob,forecast_mean,forecast_sigma,actual_high,result,realized_pnl_cents
KXETH-26JUN2617-B1510,KXETH,,2026-06-26,2026-06-26T21:00:00Z,2,4,98,,10,,,,,no,1
KXETHD-26JUN2617-T1609.99,KXETHD,,2026-06-26,2026-06-26T21:00:00Z,1,2,99,,10,,,,,no,0
KXBTC-26JUN2617-B58250,KXBTC,,2026-06-26,2026-06-26T21:00:00Z,1,3,99,,10,,,,,no,0
KXBTCD-26JUN2617-T60499.99,KXBTCD,,2026-06-26,2026-06-26T21:00:00Z,3,4,97,,10,,,,,no,2
KXHIGHNY-26JUN26-B83.5,KXHIGHNY,,2026-06-26,2026-06-27T04:59:00Z,6,14,94,,10,,,,,no,5
KXHIGHPHIL-26JUN26-B89.5,KXHIGHPHIL,,2026-06-26,2026-06-27T04:59:00Z,4,5,96,,10,,,,,no,3
KXHIGHCHI-26JUN26-B70.5,KXHIGHCHI,,2026-06-26,2026-06-27T05:59:00Z,4,5,96,,10,,,,,no,3
KXHIGHDEN-26JUN26-T90,KXHIGHDEN,,2026-06-26,2026-06-27T06:59:00Z,6,15,94,,10,,,,,no,5
KXHIGHLAX-26JUN26-T73,KXHIGHLAX,,2026-06-26,2026-06-27T07:59:00Z,3,4,97,,10,,,,,no,2
KXBTCD-26JUN2717-T61749.99,KXBTCD,,2026-06-26,2026-06-27T21:00:00Z,1,5,99,,10,,,,,no,0
KXHIGHMIA-26JUN27-T95,Weather,2026-06-27,2026-06-26,2026-06-28T04:59:00Z,1,2,99,,10,0.0527,,,,no,0
KXHIGHPHIL-26JUN27-T84,Weather,2026-06-27,2026-06-26,2026-06-28T04:59:00Z,1,3,99,,10,0.0198,,,,no,0
KXHIGHLAX-26JUN27-B68.5,Weather,2026-06-27,2026-06-26,2026-06-28T07:59:00Z,2,4,98,,10,0.065,,,,no,1
KXHIGHLAX-26JUN30-B67.5,Weather,2026-06-30,2026-06-29,2026-07-01T07:59:00Z,12,13,88,mid,10,0.0889,72.3,3.5,2.1,66.6,no,11
KXRAINNYC-26JUN30-T0,Rain,2026-06-30,2026-06-29,2026-07-01T03:59:00Z,11,50,89,ask,10,0.04,,,6.0,,yes,-90
KXAGICO-COMP-26Q2,Companies,,2026-06-26,2026-07-01T03:59:00Z,1,2,99,,10,,,,,,no,0
KXCOACHOUTNBADATE-27NNUR-26JUL01,Sports,,2026-06-26,2026-07-01T03:59:00Z,2,7,98,,10,,,,,,no,1
